epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.51886,2.35523,4.48974,1.47807,0.00147,0.25,0.00165,0.00017,3.37805,4.84424,1.40627,0,0,0
2,16.4649,2.47481,4.62002,1.44956,0.00129,0.25,0.00165,0.00017,3.34949,4.80012,1.39845,1.28753e-05,1.28753e-05,1.28753e-05
3,23.8512,2.12121,4.53064,1.39234,0.00121,0.25,0.00162,0.00016,3.28061,4.76462,1.3689,2.29212e-05,2.29212e-05,2.29212e-05
4,31.1305,2.22919,4.65314,1.35099,0.00114,0.25,0.00171,0.00035,3.16196,4.74021,1.35256,3.01376e-05,3.01376e-05,3.01376e-05
5,38.444,2.03343,4.20246,1.26918,0.00223,0.5,0.0025,0.00107,3.01853,4.5984,1.30507,3.45246e-05,3.45246e-05,3.45246e-05
6,45.1326,2.15432,4.39394,1.28114,0.00223,0.5,0.00251,0.00159,2.85271,4.57091,1.24943,3.60822e-05,3.60822e-05,3.60822e-05
7,51.964,2.04826,4.34527,1.26858,0.00222,0.5,0.00254,0.00163,2.72018,4.51615,1.20923,3.48104e-05,3.48104e-05,3.48104e-05
8,59.9593,1.95154,4.17719,1.26987,0.00224,0.5,0.00267,0.00173,2.64753,4.47688,1.1806,3.07092e-05,3.07092e-05,3.07092e-05
9,68.6828,1.88968,4.26548,1.22036,0.00224,0.5,0.00268,0.00175,2.58218,4.44895,1.15514,2.37786e-05,2.37786e-05,2.37786e-05
10,75.8678,1.86831,4.10717,1.19409,0.00223,0.5,0.0028,0.00194,2.55507,4.44697,1.14073,1.40185e-05,1.40185e-05,1.40185e-05
