epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4908,2.44395,5.2136,1.5502,0.03185,0.11538,0.02307,0.00357,3.5494,6.74064,1.67948,1.429e-05,1.429e-05,1.429e-05
2,33.8822,2.07034,3.86856,1.41753,0.07026,0.23077,0.04481,0.0073,2.94557,5.66198,1.45277,4.24456e-05,4.24456e-05,4.24456e-05
3,49.5464,2.03954,3.40361,1.33626,0.45891,0.25,0.30996,0.21601,2.60813,3.84914,1.33874,7.00353e-05,7.00353e-05,7.00353e-05
4,64.8078,1.81217,2.47427,1.16902,0.39418,0.36382,0.43234,0.27702,2.37762,3.34049,1.23476,9.70591e-05,9.70591e-05,9.70591e-05
5,82.5783,1.46501,2.28036,1.14109,0.30236,0.84615,0.54645,0.31485,2.20845,3.16004,1.19331,0.000123517,0.000123517,0.000123517
6,102.36,1.42383,2.4537,1.06167,0.34526,0.91839,0.63033,0.32344,1.95613,2.727,1.12882,0.000149409,0.000149409,0.000149409
7,122.116,1.51856,1.77559,1.04058,0.3617,0.63462,0.65907,0.36339,1.73005,2.44355,1.03775,0.000174735,0.000174735,0.000174735
8,143.012,1.53891,1.87972,1.04245,0.59516,0.64408,0.71342,0.38677,1.76881,2.23472,1.01448,0.000199496,0.000199496,0.000199496
9,163.29,1.31082,1.57031,1.02083,0.5771,0.63489,0.77614,0.421,1.65763,2.10809,0.99329,0.00022369,0.00022369,0.00022369
10,189.788,1.16711,1.28879,0.98075,0.66451,0.80769,0.8776,0.48975,1.66276,2.18214,0.99734,0.000247318,0.000247318,0.000247318
11,209.419,1.44352,1.60964,1.05844,0.92686,0.92484,0.98272,0.5297,1.6833,2.09622,1.00838,0.000270381,0.000270381,0.000270381
12,229.791,1.323,1.40869,1.02209,0.92686,0.92484,0.98272,0.5297,1.6833,2.09622,1.00838,0.000292878,0.000292878,0.000292878
13,250.344,1.56159,1.38602,1.09665,0.77644,0.75,0.82012,0.42724,1.60916,2.05793,0.9944,0.000314809,0.000314809,0.000314809
14,272.267,1.40259,1.37801,1.04548,0.82604,0.75,0.75851,0.40698,1.63143,2.10476,0.99573,0.000336174,0.000336174,0.000336174
15,295.192,1.27243,1.2076,0.99192,0.82604,0.75,0.75851,0.40698,1.63143,2.10476,0.99573,0.000356973,0.000356973,0.000356973
16,317.109,1.17956,1.21178,0.99216,0.75087,0.75,0.73811,0.34733,1.77544,2.22592,1.02274,0.000377206,0.000377206,0.000377206
17,336.235,1.18859,1.1663,1.00531,0.76081,0.75,0.73299,0.35056,1.79754,2.12348,1.04182,0.000396873,0.000396873,0.000396873
