epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6443,2.52772,5.42987,1.57187,0.03246,0.12027,0.02247,0.00381,3.54554,6.6521,1.67216,1.429e-05,1.429e-05,1.429e-05
2,25.9996,2.07392,4.02243,1.36509,0.0569,0.15385,0.03348,0.00627,3.19629,5.55201,1.53199,4.24456e-05,4.24456e-05,4.24456e-05
3,38.4009,2.04588,3.26353,1.33758,0.21419,0.45275,0.15382,0.09125,2.67856,4.21825,1.33447,7.00353e-05,7.00353e-05,7.00353e-05
4,50.0108,1.89551,2.51569,1.16541,0.37079,0.32692,0.36621,0.25859,2.50736,3.70533,1.24714,9.70591e-05,9.70591e-05,9.70591e-05
5,61.6082,1.43838,2.28729,1.09332,0.7202,0.32692,0.43602,0.25767,2.43127,3.4518,1.20966,0.000123517,0.000123517,0.000123517
6,73.2754,1.40703,2.3622,1.04141,0.87518,0.32692,0.52471,0.28161,2.29745,2.95217,1.17809,0.000149409,0.000149409,0.000149409
7,86.3341,1.45401,1.85765,1.00804,0.65452,0.3771,0.59445,0.30365,2.05544,2.6368,1.10834,0.000174735,0.000174735,0.000174735
8,98.6412,1.55071,2.11252,1.05719,0.64081,0.71154,0.69243,0.32762,1.83674,2.3962,1.06314,0.000199496,0.000199496,0.000199496
9,111.266,1.35842,1.78424,1.03847,0.77646,0.67308,0.65484,0.37664,1.71911,2.55691,1.04792,0.00022369,0.00022369,0.00022369
10,123.85,1.24176,1.3967,1.00406,0.67727,0.75,0.69864,0.37663,1.66734,2.34171,1.02306,0.000247318,0.000247318,0.000247318
11,136.314,1.49206,1.73577,1.08053,0.86362,0.54963,0.69867,0.37919,1.66203,2.03279,1.01143,0.000270381,0.000270381,0.000270381
12,148.512,1.35296,1.53978,1.04612,0.86362,0.54963,0.69867,0.37919,1.66203,2.03279,1.01143,0.000292878,0.000292878,0.000292878
