epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.03225,2.36067,4.38261,1.46421,0.00148,0.25,0.00169,0.00017,3.36368,4.87451,1.39792,0,0,0
2,10.2109,2.04016,4.06205,1.31391,0.00131,0.25,0.00169,0.00017,3.31678,4.83835,1.39253,1.41957e-05,1.41957e-05,1.41957e-05
3,16.2462,2.20194,4.21326,1.41134,0,0,0,0,3.24965,4.77897,1.35386,2.82027e-05,2.82027e-05,2.82027e-05
4,21.1306,2.15872,3.97773,1.29099,0.00233,0.5,0.00237,0.00131,3.14528,4.69865,1.2838,4.20212e-05,4.20212e-05,4.20212e-05
5,26.3297,1.83785,3.94982,1.27826,0.00226,0.5,0.00413,0.00183,2.7752,4.50223,1.18268,5.5651e-05,5.5651e-05,5.5651e-05
6,31.7239,1.81678,4.09926,1.2167,0.00221,0.5,0.02868,0.01703,2.57498,4.41416,1.15424,6.90921e-05,6.90921e-05,6.90921e-05
7,36.8731,1.75863,3.89372,1.17324,0.00225,0.5,0.08402,0.05826,2.47225,4.38719,1.13083,8.23447e-05,8.23447e-05,8.23447e-05
8,42.363,1.8434,3.9104,1.20316,0.00224,0.5,0.09413,0.06749,2.329,4.3865,1.07614,9.54086e-05,9.54086e-05,9.54086e-05
9,48.4386,1.59338,3.74444,1.07178,0.0021,0.5,0.09532,0.06998,2.20722,4.30085,1.05426,0.000108284,0.000108284,0.000108284
10,53.5167,1.3431,3.59333,1.04211,0.00206,0.5,0.1075,0.07423,2.1032,4.24705,1.02641,0.000120971,0.000120971,0.000120971
11,59.723,1.74868,3.58908,1.12055,0.002,0.5,0.1389,0.1138,1.99849,4.23997,1.00134,0.000133469,0.000133469,0.000133469
12,65.4286,1.55021,3.47105,1.09227,0.00192,0.5,0.12963,0.11441,1.83263,4.24773,0.9704,0.000145778,0.000145778,0.000145778
13,70.7504,1.65731,3.47427,1.08027,0.00187,0.5,0.13657,0.1204,1.81214,4.24882,0.96687,0.000157899,0.000157899,0.000157899
14,75.7479,1.62097,3.43049,1.11628,0.00186,0.5,0.155,0.12729,1.83239,4.24,0.96936,0.000169831,0.000169831,0.000169831
15,80.7966,1.53512,3.21497,1.05798,0.00183,0.5,0.29295,0.21175,1.94866,4.21621,1.00217,0.000181574,0.000181574,0.000181574
16,86.028,1.45004,3.03324,1.02678,0.01343,0.53846,0.30423,0.18807,1.98172,4.19368,1.00068,0.000193129,0.000193129,0.000193129
17,90.7362,1.46078,2.89192,1.02855,0.01106,0.53846,0.30329,0.16322,1.95684,4.18316,0.99873,0.000204496,0.000204496,0.000204496
