epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.58922,2.26078,4.49295,1.38804,0,0,0,0,3.3199,5.10178,1.39736,1.111e-05,1.111e-05,1.111e-05
2,12.2092,2.14723,4.49605,1.38569,0,0,0,0,3.09551,4.93472,1.37137,3.3e-05,3.3e-05,3.3e-05
3,18.5438,2.21966,4.4353,1.40499,0,0,0,0,2.71912,4.73499,1.28746,5.44501e-05,5.44501e-05,5.44501e-05
4,24.3788,1.96757,4.14314,1.24904,0,0,0,0,2.46673,4.66003,1.17916,7.54602e-05,7.54602e-05,7.54602e-05
5,30.2675,1.54925,4.16357,1.11357,0,0,0,0,2.34201,4.5661,1.1297,9.60304e-05,9.60304e-05,9.60304e-05
6,36.1946,1.66649,4.15007,1.20822,0,0,0,0,2.27933,4.50862,1.11296,0.000116161,0.000116161,0.000116161
7,41.9523,1.62524,4.09477,1.10829,0,0,0,0,2.17452,4.47835,1.09486,0.000135851,0.000135851,0.000135851
8,48.0114,1.55207,4.01242,1.15706,0,0,0,0,2.06386,4.42475,1.08778,0.000155101,0.000155101,0.000155101
9,53.3969,1.69322,3.96946,1.07249,0,0,0,0,1.967,4.50592,1.02611,0.000173911,0.000173911,0.000173911
10,59.081,1.52576,3.8781,1.07866,0.16667,0.25,0.29,0.232,1.93252,4.49966,1.01104,0.000192282,0.000192282,0.000192282
11,64.4259,1.64893,3.78597,1.0542,0.1,0.5,0.4975,0.398,1.90403,4.41422,1.00647,0.000210212,0.000210212,0.000210212
12,69.9873,1.68723,3.66823,1.10737,0.1,0.5,0.4975,0.398,1.90403,4.41422,1.00647,0.000227703,0.000227703,0.000227703
13,75.6926,1.57178,3.46672,1.04184,0.0625,0.5,0.4975,0.3738,1.89613,4.38411,1.00241,0.000244753,0.000244753,0.000244753
14,81.0848,1.4163,3.41777,1.0428,0.04545,0.5,0.4975,0.30032,1.89391,4.40311,1.00545,0.000261364,0.000261364,0.000261364
15,86.6175,1.45863,3.09686,0.99432,0.04545,0.5,0.4975,0.30032,1.89391,4.40311,1.00545,0.000277534,0.000277534,0.000277534
16,92.2918,1.61045,3.11117,1.08355,0.03333,0.5,0.3725,0.29902,1.85514,4.3956,1.00513,0.000293265,0.000293265,0.000293265
17,98.8322,1.61941,3.20402,1.03773,0.02439,0.5,0.31893,0.25971,1.8739,4.3644,1.01809,0.000308556,0.000308556,0.000308556
18,105.418,1.7125,2.92998,1.06601,0.02439,0.5,0.31893,0.25971,1.8739,4.3644,1.01809,0.000323407,0.000323407,0.000323407
19,112.382,1.6414,2.83828,1.10028,0.01852,0.5,0.29295,0.20851,1.8896,4.33028,1.01041,0.000337817,0.000337817,0.000337817
20,119.19,1.61223,2.41708,1.05026,0.01852,0.5,0.29295,0.20851,1.8896,4.33028,1.01041,0.000351788,0.000351788,0.000351788
21,125.91,1.31927,2.45694,0.98967,0.01724,0.5,0.29295,0.21497,1.87428,4.27945,1.0099,0.000365319,0.000365319,0.000365319
22,133.366,1.45497,2.34257,0.92539,0.01724,0.5,0.29295,0.21497,1.87428,4.27945,1.0099,0.00037841,0.00037841,0.00037841
23,141.461,1.69292,2.41752,1.02139,0.01667,0.5,0.28917,0.22182,1.95378,4.17335,1.00774,0.000391061,0.000391061,0.000391061
24,149.28,1.65918,2.38194,1.08865,0.01667,0.5,0.28917,0.22182,1.95378,4.17335,1.00774,0.000403272,0.000403272,0.000403272
25,155.794,1.45553,2.16055,1.01147,0.89684,0.25,0.28321,0.20625,2.02293,4.09649,1.00941,0.000415043,0.000415043,0.000415043
26,161.977,1.55431,2.14648,1.07584,0.89684,0.25,0.28321,0.20625,2.02293,4.09649,1.00941,0.000426374,0.000426374,0.000426374
27,168.004,1.41828,2.24113,0.99662,0.89684,0.25,0.28321,0.20625,2.02293,4.09649,1.00941,0.000437265,0.000437265,0.000437265
28,174.487,1.43493,2.14105,1.01384,0.95619,0.25,0.45168,0.26972,2.02561,3.84709,1.01072,0.000447716,0.000447716,0.000447716
29,180.73,1.33541,1.99263,1.00806,0.95619,0.25,0.45168,0.26972,2.02561,3.84709,1.01072,0.000457728,0.000457728,0.000457728
30,187.584,1.42974,2.05089,0.97979,0.9732,0.25,0.47224,0.29898,1.95166,3.66325,0.99715,0.000467299,0.000467299,0.000467299
31,194.544,1.50539,1.87348,0.97696,0.9732,0.25,0.47224,0.29898,1.95166,3.66325,0.99715,0.00047643,0.00047643,0.00047643
32,200.76,1.63162,2.06384,1.13442,0.9732,0.25,0.47224,0.29898,1.95166,3.66325,0.99715,0.000485121,0.000485121,0.000485121
33,207.275,1.41021,1.83852,1.00703,1,0.47597,0.68769,0.42016,1.92957,3.5803,0.98148,0.000493373,0.000493373,0.000493373
