epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,213.243,1.30909,1.87222,1.01549,1,0.47597,0.68769,0.42016,1.92957,3.5803,0.98148,0.000501184,0.000501184,0.000501184
35,219.213,1.52277,1.88979,1.01552,1,0.47597,0.68769,0.42016,1.92957,3.5803,0.98148,0.000508556,0.000508556,0.000508556
36,225.294,1.43967,1.77206,1.06066,1,0.4802,0.7723,0.45984,1.95193,3.52966,0.98605,0.000515487,0.000515487,0.000515487
37,231.419,1.40273,1.61717,1.00952,1,0.4802,0.7723,0.45984,1.95193,3.52966,0.98605,0.000521979,0.000521979,0.000521979
38,237.273,1.35956,1.7178,1.0112,1,0.4802,0.7723,0.45984,1.95193,3.52966,0.98605,0.000528031,0.000528031,0.000528031
39,243.202,1.44597,1.63335,1.06963,1,0.48529,0.86122,0.48048,1.95763,3.32482,0.98375,0.000533642,0.000533642,0.000533642
40,249.276,1.53485,1.56398,1.02705,1,0.48529,0.86122,0.48048,1.95763,3.32482,0.98375,0.000538814,0.000538814,0.000538814
41,255.282,1.33276,1.45861,0.95835,1,0.48529,0.86122,0.48048,1.95763,3.32482,0.98375,0.000543546,0.000543546,0.000543546
42,261.417,1.51794,1.69687,1.07306,0.99554,0.5,0.89907,0.47362,1.98883,3.08068,1.00523,0.000547837,0.000547837,0.000547837
43,267.353,1.33146,1.42883,0.98505,0.99554,0.5,0.89907,0.47362,1.98883,3.08068,1.00523,0.000551689,0.000551689,0.000551689
44,273.524,1.33164,1.52011,1.04858,0.99554,0.5,0.89907,0.47362,1.98883,3.08068,1.00523,0.000555101,0.000555101,0.000555101
45,279.752,1.45935,1.53712,1.03221,0.99554,0.5,0.89907,0.47362,1.98883,3.08068,1.00523,0.000558073,0.000558073,0.000558073
46,285.678,1.45867,1.51938,1.06382,0.98776,0.5,0.9436,0.49681,1.97637,2.77062,1.02104,0.000560605,0.000560605,0.000560605
47,292.037,1.35892,1.44787,0.98956,0.98776,0.5,0.9436,0.49681,1.97637,2.77062,1.02104,0.000562697,0.000562697,0.000562697
48,298.214,1.45134,1.44878,0.9868,0.98776,0.5,0.9436,0.49681,1.97637,2.77062,1.02104,0.000564349,0.000564349,0.000564349
49,305.483,1.47502,1.41619,0.98738,0.98776,0.5,0.9436,0.49681,1.97637,2.77062,1.02104,0.000565561,0.000565561,0.000565561
50,313.647,1.38659,1.53906,1.0175,0.85286,0.5989,0.94624,0.49213,1.86401,2.47851,1.00827,0.000566333,0.000566333,0.000566333
51,321.062,1.26235,1.44712,0.95115,0.85286,0.5989,0.94624,0.49213,1.86401,2.47851,1.00827,0.000561055,0.000561055,0.000561055
52,326.97,1.40996,1.55128,1.0078,0.85286,0.5989,0.94624,0.49213,1.86401,2.47851,1.00827,0.000550056,0.000550056,0.000550056
53,333.051,1.39969,1.47037,0.98936,0.85286,0.5989,0.94624,0.49213,1.86401,2.47851,1.00827,0.000539057,0.000539057,0.000539057
54,338.916,1.33143,1.52693,0.97689,0.86034,0.8368,0.95145,0.5501,1.84966,2.25989,1.00821,0.000528058,0.000528058,0.000528058
55,345.26,1.19036,1.25927,0.92488,0.86034,0.8368,0.95145,0.5501,1.84966,2.25989,1.00821,0.000517059,0.000517059,0.000517059
56,350.684,1.33358,1.37404,0.96463,0.86034,0.8368,0.95145,0.5501,1.84966,2.25989,1.00821,0.00050606,0.00050606,0.00050606
57,355.907,1.24611,1.64863,1.03152,0.86034,0.8368,0.95145,0.5501,1.84966,2.25989,1.00821,0.000495062,0.000495062,0.000495062
58,362.001,1.29946,1.34005,0.96738,0.86457,0.84615,0.95329,0.54459,1.88283,2.04836,1.00185,0.000484063,0.000484063,0.000484063
59,368.394,1.4092,1.53323,0.9656,0.86457,0.84615,0.95329,0.54459,1.88283,2.04836,1.00185,0.000473064,0.000473064,0.000473064
60,374.55,1.3649,1.50956,1.05626,0.86457,0.84615,0.95329,0.54459,1.88283,2.04836,1.00185,0.000462065,0.000462065,0.000462065
61,380.843,1.26383,1.35195,0.99501,0.86457,0.84615,0.95329,0.54459,1.88283,2.04836,1.00185,0.000451066,0.000451066,0.000451066
62,386.767,1.24128,1.20344,0.94005,0.90135,0.85534,0.96751,0.52807,2.02212,1.87808,1.02194,0.000440067,0.000440067,0.000440067
63,392.427,1.17432,1.26931,0.93157,0.90135,0.85534,0.96751,0.52807,2.02212,1.87808,1.02194,0.000429068,0.000429068,0.000429068
64,397.946,1.29174,1.26321,0.96997,0.90135,0.85534,0.96751,0.52807,2.02212,1.87808,1.02194,0.000418069,0.000418069,0.000418069
65,403.728,1.3231,1.40827,0.94751,0.90135,0.85534,0.96751,0.52807,2.02212,1.87808,1.02194,0.00040707,0.00040707,0.00040707
66,409.732,1.17851,1.22947,0.91791,0.94507,0.85314,0.97475,0.56077,1.95367,1.80264,1.01326,0.000396071,0.000396071,0.000396071
67,415.777,1.2915,1.21978,0.94539,0.94507,0.85314,0.97475,0.56077,1.95367,1.80264,1.01326,0.000385073,0.000385073,0.000385073
68,421.367,1.32405,1.23291,0.9377,0.94507,0.85314,0.97475,0.56077,1.95367,1.80264,1.01326,0.000374074,0.000374074,0.000374074
69,427.253,1.37412,1.39481,0.95719,0.94507,0.85314,0.97475,0.56077,1.95367,1.80264,1.01326,0.000363075,0.000363075,0.000363075
70,433.134,1.26385,1.22543,0.92104,0.97961,0.85312,0.98105,0.56929,1.8074,1.77394,0.99085,0.000352076,0.000352076,0.000352076
71,439.071,1.34284,1.39944,0.97498,0.97961,0.85312,0.98105,0.56929,1.8074,1.77394,0.99085,0.000341077,0.000341077,0.000341077
72,446.288,1.15609,1.28478,0.92241,0.97961,0.85312,0.98105,0.56929,1.8074,1.77394,0.99085,0.000330078,0.000330078,0.000330078
73,451.65,1.37093,1.33928,0.94317,0.97961,0.85312,0.98105,0.56929,1.8074,1.77394,0.99085,0.000319079,0.000319079,0.000319079
74,457.503,1.36915,1.4157,0.93681,0.9956,0.85469,0.995,0.59826,1.75214,1.68222,0.98129,0.00030808,0.00030808,0.00030808
75,462.849,1.24543,1.3486,0.96196,0.9956,0.85469,0.995,0.59826,1.75214,1.68222,0.98129,0.000297081,0.000297081,0.000297081
76,468.158,1.22726,1.25452,0.91715,0.9956,0.85469,0.995,0.59826,1.75214,1.68222,0.98129,0.000286083,0.000286083,0.000286083
77,474.036,1.16745,1.378,0.92862,0.9956,0.85469,0.995,0.59826,1.75214,1.68222,0.98129,0.000275084,0.000275084,0.000275084
78,479.776,1.16927,1.282,0.90679,0.99528,0.85699,0.9925,0.59996,1.68675,1.55768,0.97569,0.000264085,0.000264085,0.000264085
79,485.242,1.39872,1.40758,0.99483,0.99528,0.85699,0.9925,0.59996,1.68675,1.55768,0.97569,0.000253086,0.000253086,0.000253086
80,490.776,1.44072,1.45424,0.98452,0.99528,0.85699,0.9925,0.59996,1.68675,1.55768,0.97569,0.000242087,0.000242087,0.000242087
81,496.555,1.26149,1.26079,0.92578,0.99528,0.85699,0.9925,0.59996,1.68675,1.55768,0.97569,0.000231088,0.000231088,0.000231088
82,502.315,1.19571,1.19387,0.9563,0.99539,0.86023,0.9925,0.6026,1.6398,1.44952,0.97833,0.000220089,0.000220089,0.000220089
83,511.056,1.30969,1.27882,0.93514,0.99539,0.86023,0.9925,0.6026,1.6398,1.44952,0.97833,0.00020909,0.00020909,0.00020909
84,519.875,1.19474,1.30242,0.94652,0.99539,0.86023,0.9925,0.6026,1.6398,1.44952,0.97833,0.000198091,0.000198091,0.000198091
85,527.761,1.11508,1.27957,0.91782,0.99539,0.86023,0.9925,0.6026,1.6398,1.44952,0.97833,0.000187092,0.000187092,0.000187092
86,534.814,1.06302,1.21684,0.91061,0.99652,0.86576,0.9925,0.59863,1.71069,1.4389,0.99227,0.000176094,0.000176094,0.000176094
87,542.567,1.1759,1.21022,0.90207,0.99652,0.86576,0.9925,0.59863,1.71069,1.4389,0.99227,0.000165095,0.000165095,0.000165095
88,549.815,1.25587,1.24053,0.94631,0.99652,0.86576,0.9925,0.59863,1.71069,1.4389,0.99227,0.000154096,0.000154096,0.000154096
89,556.633,1.01293,1.18177,0.90448,0.99652,0.86576,0.9925,0.59863,1.71069,1.4389,0.99227,0.000143097,0.000143097,0.000143097
90,563.405,1.08476,1.18967,0.92756,0.99911,0.87264,0.9925,0.59209,1.81188,1.46806,1.00715,0.000132098,0.000132098,0.000132098
91,571.051,1.11813,1.42866,0.88014,0.99911,0.87264,0.9925,0.59209,1.81188,1.46806,1.00715,0.000121099,0.000121099,0.000121099
92,579.022,1.10859,1.65073,0.90299,0.99911,0.87264,0.9925,0.59209,1.81188,1.46806,1.00715,0.0001101,0.0001101,0.0001101
93,585.251,1.14336,1.52714,0.904,0.99911,0.87264,0.9925,0.59209,1.81188,1.46806,1.00715,9.91012e-05,9.91012e-05,9.91012e-05
94,591.215,1.19498,1.37953,0.95649,0.93104,0.94171,0.9925,0.58683,1.83241,1.47368,1.01337,8.81023e-05,8.81023e-05,8.81023e-05
95,597.434,1.12511,1.59175,0.89842,0.93104,0.94171,0.9925,0.58683,1.83241,1.47368,1.01337,7.71034e-05,7.71034e-05,7.71034e-05
96,603.841,1.13738,1.32261,0.9003,0.93104,0.94171,0.9925,0.58683,1.83241,1.47368,1.01337,6.61045e-05,6.61045e-05,6.61045e-05
97,610.36,1.12151,1.43946,0.87258,0.93104,0.94171,0.9925,0.58683,1.83241,1.47368,1.01337,5.51056e-05,5.51056e-05,5.51056e-05
98,616.304,1.10354,1.37075,0.87095,0.9423,0.93518,0.995,0.56584,1.80755,1.47124,1.01267,4.41067e-05,4.41067e-05,4.41067e-05
99,621.477,1.1958,1.29683,0.92806,0.9423,0.93518,0.995,0.56584,1.80755,1.47124,1.01267,3.31078e-05,3.31078e-05,3.31078e-05
100,626.652,1.15664,1.45258,0.93809,0.9423,0.93518,0.995,0.56584,1.80755,1.47124,1.01267,2.21089e-05,2.21089e-05,2.21089e-05
